x,y,z
0.3000000119,0.3000000119,0.3000000119
0.3000000135,0.3000000137,0.3000000135
0.3000000368,0.3000000404,0.3000000368
0.3000001373,0.3000001552,0.3000001373
0.3000004058,0.3000004621,0.3000004058
0.3000009683,0.3000011049,0.3000009683
0.3000019839,0.3000022656,0.3000019839
0.3000036446,0.3000041635,0.3000036446
0.3000061741,0.3000070544,0.3000061741
0.3000098267,0.3000112288,0.3000098267
0.3000148862,0.3000170111,0.3000148862
0.3000216655,0.3000247588,0.3000216655
0.3000305048,0.300034861,0.3000305048
0.3000417716,0.3000477372,0.3000417716
0.3000558588,0.3000638369,0.3000558588
0.3000731845,0.3000836377,0.3000731845
0.3000941908,0.3001076449,0.3000941908
0.3001193429,0.3001363901,0.3001193429
0.3001491282,0.3001704305,0.3001491282
0.3001840554,0.3002103473,0.3001840554
0.3002246538,0.3002567455,0.3002246538
0.3002714721,0.3003102521,0.3002714721
0.3003250778,0.3003715157,0.3003250778
0.3003860562,0.3004412054,0.3003860562
0.3004550097,0.3005200094,0.3004550097
0.300532557,0.3006086348,0.300532557
0.3006193319,0.3007078062,0.3006193319
0.300715983,0.3008182646,0.300715983
0.3008231726,0.3009407669,0.3008231726
0.3009415759,0.301076085,0.3009415759
0.3010718803,0.3012250043,0.3010718803
0.3012147848,0.3013883237,0.3012147848
0.3013709988,0.301566854,0.3013709988
0.3015412418,0.3017614174,0.3015412418
0.3017262423,0.3019728465,0.3017262423
0.3019267373,0.3022019836,0.3019267373
0.3021434715,0.3024496799,0.3021434715
0.3023771966,0.3027167942,0.3023771966
0.3026286705,0.303004193,0.3026286705
0.3028986568,0.3033127488,0.3028986568
0.303187924,0.3036433398,0.303187924
0.3034972447,0.3039968492,0.3034972447
0.3038273951,0.3043741639,0.3038273951
0.3041791544,0.3047761746,0.3041791544
0.304553304,0.3052037741,0.304553304
0.304950627,0.3056578574,0.304950627
0.3053719072,0.3061393205,0.3053719072
0.3058179292,0.3066490599,0.3058179292
0.306289477,0.3071879717,0.306289477
0.3067873341,0.3077569512,0.3067873341
0.3073122823,0.308356892,0.3073122823
0.3078651016,0.3089886854,0.3078651016
0.3084465694,0.30965322,0.3084465694
0.3090574599,0.3103513806,0.3090574599
0.3096985438,0.3110840478,0.3096985438
0.3103705873,0.3118520975,0.3103705873
0.3110743522,0.3126564002,0.3110743522
0.3118105948,0.3134978203,0.3118105948
0.3125800658,0.3143772157,0.3125800658
0.3133835095,0.315295437,0.3133835095
0.3142216636,0.3162533274,0.3142216636
0.3150952584,0.3172517214,0.3150952584
0.3160050166,0.318291445,0.3160050166
0.3169516526,0.3193733147,0.3169516526
0.3179358724,0.3204981372,0.3179358724
0.3189583728,0.321666709,0.3189583728
0.320019841,0.3228798155,0.320019841
0.3211209545,0.3241382308,0.3211209545
0.3222623803,0.3254427174,0.3222623803
0.3234447748,0.3267940254,0.3234447748
0.3246687832,0.3281928921,0.3246687832
0.3259350392,0.3296400417,0.3259350392
0.3272441646,0.331136185,0.3272441646
0.328596769,0.3326820185,0.328596769
0.3299934494,0.3342782245,0.3299934494
0.3314347897,0.3359254705,0.3314347897
0.3329213607,0.3376244087,0.3329213607
0.3344537196,0.3393756759,0.3344537196
0.3360324095,0.341179893,0.3360324095
0.3376579596,0.3430376643,0.3376579596
0.3393308841,0.344949578,0.3393308841
0.3410516828,0.346916205,0.3410516828
0.3428208403,0.3489380992,0.3428208403
0.3446388257,0.3510157967,0.3446388257
0.3465060927,0.353149816,0.3465060927
0.3484230791,0.3553406574,0.3484230791
0.3503902063,0.3575888028,0.3503902063
0.3524078799,0.3598947154,0.3524078799
0.3544764886,0.3622588395,0.3544764886
0.3565964044,0.3646816003,0.3565964044
0.3587679825,0.3671634036,0.3587679825
0.3609915607,0.3697046357,0.3609915607
0.3632674597,0.3723056631,0.3632674597
0.3655959827,0.3749668321,0.3655959827
0.3679774151,0.377688469,0.3679774151
0.3704120248,0.3804708799,0.3704120248
0.3729000613,0.3833143501,0.3729000613
0.3754417566,0.3862191445,0.3754417566
0.378037324,0.3891855072,0.378037324
0.3806869588,0.3922136611,0.3806869588
0.3833908378,0.3953038084,0.3833908378
0.3861491193,0.39845613,0.3861491193
0.3889619431,0.4016707856,0.3889619431
0.3918294303,0.4049479137,0.3918294303
0.3947516833,0.4082876312,0.3947516833
0.3977287857,0.4116900337,0.3977287857
0.4007608023,0.4151551954,0.4007608023
0.4038477791,0.4186831688,0.4038477791
0.4069897433,0.4222739848,0.4069897433
0.410186703,0.4259276529,0.410186703
0.4134386477,0.4296441609,0.4134386477
0.4167455478,0.4334234752,0.4167455478
0.420107355,0.4372655403,0.420107355
0.4235240021,0.4411702797,0.4235240021
0.426995403,0.4451375948,0.426995403
0.430521453,0.449167366,0.430521453
