x,y,z
4,4,0.3000000119
4.000000004,3.999999997,0.3000000163
4.000000069,3.999999948,0.3000000811
4.000000347,3.99999974,0.3000003585
4.000001085,3.999999187,0.3000010965
4.000002622,3.999998034,0.3000026335
4.000005382,3.999995964,0.3000053939
4.000009871,3.999992597,0.3000098829
4.00001667,3.999987497,0.3000166822
4.000026433,3.999980175,0.3000264448
4.000039879,3.99997009,0.3000398913
4.000057793,3.999956656,0.3000578045
4.000081014,3.99993924,0.3000810259
4.000110439,3.999917171,0.3001104507
4.000147012,3.999889741,0.3001470241
4.000191725,3.999856206,0.3001917369
4.00024561,3.999815793,0.3002456216
4.000309737,3.999767698,0.3003097484
4.00038521,3.999711093,0.3003852214
4.000473163,3.999645128,0.3004731747
4.000574757,3.999568932,0.3005747688
4.000691175,3.999481619,0.3006911869
4.00082362,3.999382285,0.3008236317
4.00097331,3.999270018,0.3009733213
4.001141475,3.999143894,0.3011414866
4.001329356,3.999002984,0.3013293673
4.001538198,3.998846352,0.3015382094
4.00176925,3.998673063,0.3017692616
4.002023761,3.99848218,0.3020237724
4.002302976,3.998272769,0.3023029873
4.002608135,3.9980439,0.3026081458
4.002940468,3.99779465,0.3029404787
4.003301194,3.997524105,0.3033012054
4.00369152,3.997231361,0.3036915313
4.004112635,3.996915525,0.3041126452
4.004565707,3.996575721,0.3045657171
4.005051885,3.996211088,0.3050518955
4.005572295,3.99582078,0.3055723055
4.006128036,3.995403975,0.3061280465
4.00672018,3.994959867,0.3067201898
4.007349767,3.994487677,0.307349777
4.008017808,3.993986646,0.308017818
4.00872528,3.993456043,0.3087252889
4.009473122,3.992895162,0.3094731307
4.010262238,3.992303324,0.310262247
4.011093494,3.991679883,0.311093503
4.011967715,3.991024217,0.3119677236
4.012885684,3.990335741,0.3128856922
4.013848142,3.989613898,0.3138481494
4.014855784,3.988858166,0.3148557914
4.015909262,3.988068058,0.3159092693
4.017009181,3.98724312,0.3170091875
4.018156097,3.986382933,0.3181561033
4.019350519,3.985487116,0.3193505255
4.020592908,3.984555325,0.3205929137
4.021883672,3.983587252,0.3218836777
4.023223172,3.982582628,0.3232231767
4.024611714,3.981541222,0.3246117186
4.026049556,3.980462841,0.3260495598
4.027536901,3.979347333,0.3275369046
4.029073902,3.978194582,0.3290739049
4.030660657,3.977004516,0.3306606599
4.032297214,3.975777099,0.3322972163
4.033983566,3.974512336,0.3339835675
4.035719653,3.973210271,0.3357196544
4.037505364,3.971870988,0.3375053649
4.039340534,3.970494611,0.3393405344
4.041224947,3.969081302,0.3412249461
4.043158332,3.967631264,0.3431583312
4.045140371,3.966144736,0.3451403691
4.047170691,3.964621996,0.3471706884
4.04924887,3.963063362,0.3492488674
4.051374438,3.961469187,0.3513744344
4.053546873,3.959839861,0.3535468688
4.055765607,3.958175812,0.3557656019
