x,y,z
0.1000000015,0.1000000015,0.1000000015
0.1000000028,0.1000000032,0.1000000032
0.1000000219,0.1000000281,0.1000000281
0.100000104,0.1000001356,0.1000001356
0.1000003238,0.100000423,0.100000423
0.1000007841,0.1000010249,0.1000010249
0.1000016154,0.100002112,0.100002112
0.1000029751,0.1000038901,0.1000038901
0.1000050465,0.1000065988,0.1000065988
0.1000080382,0.100010511,0.100010511
0.1000121831,0.1000159313,0.1000159313
0.1000177379,0.1000231953,0.1000231953
0.1000249823,0.1000326688,0.1000326688
0.100034218,0.1000447462,0.1000447462
0.1000457681,0.1000598502,0.1000598502
0.1000599765,0.1000784303,0.1000784303
0.1000772069,0.1001009624,0.1001009624
0.1000978422,0.1001279471,0.1001279471
0.100122284,0.1001599094,0.1001599094
0.1001509514,0.1001973976,0.1001973976
0.1001842809,0.1002409822,0.1002409822
0.1002227249,0.1002912553,0.1002912553
0.1002667521,0.1003488292,0.1003488292
0.1003168457,0.1004143363,0.1004143363
0.1003735035,0.1004884273,0.1004884273
0.100437237,0.100571771,0.100571771
0.1005085705,0.1006650533,0.1006650533
0.1005880409,0.1007689761,0.1007689761
0.1006761966,0.1008842567,0.1008842567
0.1007735973,0.1010116269,0.1010116269
0.1008808132,0.1011518322,0.1011518322
0.100998424,0.101305631,0.101305631
0.1011270189,0.1014737936,0.1014737936
0.1012671958,0.1016571018,0.1016571018
0.1014195603,0.1018563478,0.1018563478
0.1015847258,0.1020723334,0.1020723334
0.1017633123,0.1023058695,0.1023058695
0.1019559461,0.1025577753,0.1025577753
0.1021632593,0.1028288773,0.1028288773
0.1023858892,0.1031200087,0.1031200087
0.1026244775,0.1034320088,0.1034320088
0.1028796701,0.1037657223,0.1037657223
0.1031521165,0.1041219982,0.1041219982
0.1034424688,0.1045016898,0.1045016898
0.103751382,0.1049056533,0.1049056533
0.1040795129,0.1053347475,0.1053347475
0.1044275196,0.1057898332,0.1057898332
0.1047960612,0.1062717723,0.1062717723
0.1051857975,0.1067814274,0.1067814274
0.1055973878,0.107319661,0.107319661
0.1060314914,0.1078873349,0.1078873349
0.1064887661,0.1084853096,0.1084853096
0.1069698686,0.1091144437,0.1091144437
0.1074754537,0.1097755934,0.1097755934
0.1080061736,0.1104696118,0.1104696118
0.1085626779,0.1111973483,0.1111973483
0.109145613,0.111959648,0.111959648
0.1097556215,0.1127573515,0.1127573515
0.110393342,0.1135912938,0.1135912938
0.1110594088,0.1144623042,0.1144623042
0.111754451,0.1153712056,0.1153712056
0.1124790926,0.116318814,0.116318814
0.1132339521,0.117305938,0.117305938
0.1140196417,0.1183333782,0.1183333782
0.1148367672,0.1194019271,0.1194019271
0.1156859279,0.120512368,0.120512368
0.1165677156,0.1216654751,0.1216654751
0.117482715,0.1228620128,0.1228620128
0.1184315025,0.1241027351,0.1241027351
0.1194146469,0.1253883854,0.1253883854
0.120432708,0.1267196962,0.1267196962
0.1214862371,0.1280973883,0.1280973883
0.1225757764,0.1295221705,0.1295221705
0.1237018584,0.1309947394,0.1309947394
0.1248650063,0.132515779,0.132515779
0.1260657328,0.1340859599,0.1340859599
0.1273045407,0.1357059396,0.1357059396
0.1285819221,0.1373763615,0.1373763615
0.1298983583,0.1390978551,0.1390978551
0.1312543193,0.140871035,0.140871035
0.1326502642,0.1426965014,0.1426965014
0.13408664,0.1445748391,0.1445748391
0.1355638822,0.1465066175,0.1465066175
0.1370824141,0.1484923902,0.1484923902
0.138642647,0.1505326948,0.1505326948
0.1402449793,0.1526280526,0.1526280526
0.1418897969,0.1547789681,0.1547789681
0.143577473,0.1569859292,0.1569859292
0.1453083673,0.1592494065,0.1592494065
0.1470828265,0.1615698533,0.1615698533
0.1489011838,0.1639477053,0.1639477053
0.1507637588,0.1663833805,0.1663833805
0.1526708574,0.1688772787,0.1688772787
0.1546227712,0.1714297817,0.1714297817
0.1566197783,0.1740412525,0.1740412525
0.158662142,0.176712036,0.176712036
0.1607501116,0.179442458,0.179442458
0.1628839218,0.1822328254,0.1822328254
0.1650637929,0.1850834262,0.1850834262
0.1672899302,0.187994529,0.187994529
0.1695625243,0.190966383,0.190966383
0.1718817511,0.1939992182,0.1939992182
0.1742477712,0.1970932447,0.1970932447
0.1766607304,0.2002486531,0.2002486531
0.1791207592,0.203465614,0.203465614
0.181627973,0.2067442785,0.2067442785
0.184182472,0.2100847772,0.2100847772
0.1867843408,0.2134872213,0.2134872213
0.189433649,0.2169517015,0.2169517015
0.1921304507,0.2204782885,0.2204782885
0.1948747845,0.224067033,0.224067033
0.1976666737,0.2277179652,0.2277179652
0.2005061262,0.2314310956,0.2314310956
0.2033931342,0.235206414,0.235206414
0.2063276748,0.2390438904,0.2390438904
0.2093097095,0.2429434745,0.2429434745
0.2123391844,0.2469050957,0.2469050957
0.2154160302,0.2509286636,0.2509286636
0.2185401624,0.2550140675,0.2550140675
0.221711481,0.2591611767,0.2591611767
0.2249298709,0.2633698406,0.2633698406
0.2281952017,0.2676398888,0.2676398888
0.2315073278,0.271971131,0.271971131
0.2348660889,0.2763633573,0.2763633573
0.2382713093,0.280816338,0.280816338
0.2417227985,0.2853298242,0.2853298242
0.2452203514,0.2899035475,0.2899035475
0.2487637479,0.2945372201,0.2945372201
0.2523527536,0.2992305356,0.2992305356
0.2559871194,0.303983168,0.303983168
0.2596665819,0.3087947732,0.3087947732
0.2633908637,0.3136649881,0.3136649881
0.2671596728,0.3185934311,0.3185934311
0.2709727039,0.3235797028,0.3235797028
0.2748296374,0.3286233854,0.3286233854
0.2787301404,0.3337240435,0.3337240435
0.2826738664,0.338881224,0.338881224
0.2866604557,0.3440944564,0.3440944564
0.2906895353,0.3493632532,0.3493632532
0.2947607197,0.35468711,0.35468711
0.2988736103,0.3600655058,0.3600655058
0.3030277963,0.3654979031,0.3654979031
0.3072228544,0.3709837487,0.3709837487
0.3114583494,0.3765224732,0.3765224732
0.3157338342,0.3821134922,0.3821134922
0.3200488501,0.3877562056,0.3877562056
0.3244029271,0.393449999,0.393449999
0.3287955841,0.3991942431,0.3991942431
0.3332263291,0.4049882946,0.4049882946
0.3376946596,0.4108314964,0.4108314964
0.3422000628,0.4167231778,0.4167231778
0.3467420159,0.4226626552,0.4226626552
0.3513199862,0.4286492322,0.4286492322
0.3559334318,0.4346821999,0.4346821999
0.3605818017,0.4407608378,0.4407608378
0.3652645358,0.4468844136,0.4468844136
0.3699810659,0.4530521841,0.4530521841
0.3747308153,0.4592633952,0.4592633952
0.3795131996,0.4655172827,0.4655172827
0.384327627,0.4718130728,0.4718130728
0.3891734984,0.4781499819,0.4781499819
0.394050208,0.484527218,0.484527218
0.3989571437,0.4909439804,0.4909439804
0.4038936871,0.4973994606,0.4973994606
0.4088592144,0.5038928428,0.5038928428
0.4138530962,0.5104233041,0.5104233041
0.4188746987,0.5169900154,0.5169900154
0.4239233831,0.5235921416,0.5235921416
0.4289985069,0.5302288423,0.5302288423
0.4340994237,0.5368992724,0.5368992724
0.4392254841,0.5436025826,0.5436025826
