x,y,z
0.1,0.1,0.1
3.5,3.5,3.5
3.9,3.8,3.9
4.3,3.8,4.3
4.7,3.8,4.7
5,3.9,5
5.1,5,6.1
3.2,6.8,8
2.9,6.9,8.3
2.1,7.6,9.1
1.7,7.7,9.5
1,8,9.8
