x,y,z
0.3000000119,0.3000000119,0.3000000119
0.300000014,0.300000014,0.3000000135
0.3000000444,0.3000000444,0.3000000374
0.3000001753,0.3000001753,0.3000001403
0.3000005251,0.3000005251,0.3000004151
0.3000012573,0.3000012573,0.3000009904
0.3000025786,0.3000025786,0.3000020286
0.3000047382,0.3000047382,0.3000037254
0.3000080256,0.3000080256,0.3000063084
0.3000127698,0.3000127698,0.300010036
0.3000193379,0.3000193379,0.3000151966
0.3000281333,0.3000281333,0.3000221073
0.3000395948,0.3000395948,0.3000311127
0.3000541952,0.3000541952,0.3000425845
0.3000724398,0.3000724398,0.3000569196
0.3000948655,0.3000948655,0.3000745397
0.3001220389,0.3001220389,0.3000958903
0.3001545558,0.3001545558,0.3001214392
0.3001930391,0.3001930391,0.3001516761
0.3002381385,0.3002381385,0.3001871113
0.3002905284,0.3002905284,0.3002282749
0.3003509074,0.3003509074,0.3002757155
0.3004199967,0.3004199967,0.30033
0.300498539,0.300498539,0.3003917118
0.3005872974,0.3005872974,0.3004614505
0.3006870543,0.3006870543,0.3005398309
0.3007986102,0.3007986102,0.3006274819
0.3009227823,0.3009227823,0.3007250458
0.3010604042,0.3010604042,0.3008331773
0.301212324,0.301212324,0.3009525428
0.3013794034,0.3013794034,0.3010838195
0.3015625172,0.3015625172,0.3012276945
0.3017625514,0.3017625514,0.3013848642
0.3019804028,0.3019804028,0.3015560332
0.3022169779,0.3022169779,0.3017419136
0.3024731916,0.3024731916,0.3019432244
0.3027499666,0.3027499666,0.3021606905
0.3030482321,0.3030482321,0.3023950419
0.3033689231,0.3033689231,0.3026470134
0.3037129793,0.3037129793,0.3029173432
0.3040813442,0.3040813442,0.3032067728
0.3044749643,0.3044749643,0.3035160457
0.3048947882,0.3048947882,0.3038459073
0.3053417655,0.3053417655,0.3041971038
0.3058168461,0.3058168461,0.3045703814
0.3063209796,0.3063209796,0.3049664862
0.3068551137,0.3068551137,0.305386163
0.3074201944,0.3074201944,0.305830155
0.3080171644,0.3080171644,0.3062992028
0.3086469627,0.3086469627,0.3067940443
0.3093105235,0.3093105235,0.3073154135
0.310008776,0.310008776,0.3078640404
0.310742643,0.310742643,0.3084406501
0.3115130406,0.3115130406,0.3090459625
0.3123208773,0.3123208773,0.3096806913
0.3131670535,0.3131670535,0.310345544
0.3140524605,0.3140524605,0.3110412208
0.3149779799,0.3149779799,0.3117684147
0.3159444834,0.3159444834,0.3125278102
0.3169528315,0.3169528315,0.3133200837
0.3180038731,0.3180038731,0.3141459021
0.3190984453,0.3190984453,0.315005923
0.320237372,0.320237372,0.3159007939
0.321421464,0.321421464,0.3168311519
0.3226515183,0.3226515183,0.3177976231
0.3239283173,0.3239283173,0.3188008222
0.3252526283,0.3252526283,0.3198413522
0.3266252033,0.3266252033,0.3209198039
0.328046778,0.328046778,0.3220367554
0.3295180718,0.3295180718,0.3231927719
0.3310397871,0.3310397871,0.3243884053
0.3326126085,0.3326126085,0.3256241934
0.3342372029,0.3342372029,0.3269006604
0.335914219,0.335914219,0.3282183158
0.3376442862,0.3376442862,0.3295776543
0.3394280153,0.3394280153,0.3309791556
0.341265997,0.341265997,0.332423284
0.3431588024,0.3431588024,0.3339104882
0.3451069819,0.3451069819,0.3354412006
0.3471110655,0.3471110655,0.3370158376
0.3491715622,0.3491715622,0.3386347992
