x,y,z
1,1,1
5,5,1
9,9,1
13,13,1
18,18,4
21,21,5
29,29,7
38,38,9
50,39,9
51,50,9
45,56,14
42,59,15
39,62,17
33,68,19
30,68,19
26,72,22
24,73,22
18,76,25
16,77,25
12,79,27
10,80,28
