x,y,z
0.3,7.5,3.5
0.7,7.1,3.5
1.1,6.7,3.5
1.5,6.3,3.5
1.9,3.8,3.5
2.9,3.7,3.5
4.7,5.6,1.4
4.9,5.7,0.8
5.9,6,0.7
6.7,6.7,1.6
7.2,7.2,2.9
7.5,7.5,3.5
