x,y,z
2,2,2
2.000000001,1.999999996,2.000000004
2.000000015,1.999999938,2.000000069
2.000000077,1.99999969,2.000000349
2.000000243,1.999999029,2.000001092
2.000000588,1.999997649,2.000002644
2.000001208,1.999995167,2.000005437
2.00000222,1.999991122,2.000009988
2.000003754,1.999984983,2.000016894
2.000005962,1.999976151,2.00002683
2.00000901,1.999963961,2.000040544
2.000013078,1.999947688,2.000058851
2.000018363,1.99992655,2.000082632
2.000025073,1.999899707,2.000112829
2.000033432,1.999866273,2.000150443
2.000043673,1.999825309,2.000196528
2.000056041,1.999775834,2.000252187
2.000070794,1.999716826,2.000318571
2.000088195,1.999647221,2.000396876
2.000108519,1.999565924,2.000488336
2.000132049,1.999471804,2.000594221
2.000159075,1.9993637,2.000715837
2.000189893,1.999240427,2.000854519
2.000224807,1.999100774,2.001011629
2.000264123,1.998943509,2.001188553
2.000308155,1.99876738,2.001386697
2.00035722,1.998571122,2.001607488
2.000411637,1.998353454,2.001852364
2.000471729,1.998113085,2.002122779
2.000537821,1.997848716,2.002420195
2.00061024,1.997559041,2.002746079
2.000689312,1.997242751,2.003101905
2.000775366,1.996898536,2.003489148
2.000868729,1.996525085,2.00390928
2.000969727,1.996121093,2.004363771
2.001078686,1.995685259,2.004854085
2.001195928,1.995216288,2.005381677
2.001321776,1.994712896,2.005947993
2.001456548,1.99417381,2.006554465
2.001600558,1.993597771,2.007202509
2.001754117,1.992983534,2.007893526
2.001917533,1.992329871,2.008628896
2.002091107,1.991635575,2.00940998
2.002275137,1.990899457,2.010238113
2.002469913,1.99012035,2.011114608
2.002675722,1.989297114,2.012040749
2.002892843,1.988428631,2.013017793
2.003121548,1.987513811,2.014046965
2.003362103,1.986551593,2.015129461
2.003614765,1.985540945,2.01626644
2.003879785,1.984480866,2.017459029
2.004157404,1.983370388,2.018708317
2.004447857,1.982208576,2.020015356
2.004751369,1.980994529,2.021381159
2.005068156,1.979727383,2.022806698
2.005398424,1.978406311,2.024292904
2.005742371,1.977030524,2.025840665
2.006100184,1.975599271,2.027450825
2.006472042,1.974111841,2.029124184
2.006858111,1.972567564,2.030861495
2.007258549,1.970965813,2.032663466
2.007673502,1.969305999,2.034530757
2.008103107,1.967587581,2.036463977
2.008547488,1.965810059,2.03846369
2.009006759,1.963972976,2.040530409
2.009481022,1.962075922,2.042664595
2.00997037,1.960118531,2.04486666
2.010474882,1.958100483,2.047136964
2.010994627,1.956021504,2.049475816
2.011529662,1.953881366,2.051883472
2.012080032,1.951679886,2.054360137
2.012645771,1.949416932,2.056905961
2.0132269,1.947092414,2.059521044
2.013823431,1.944706293,2.062205431
2.014435361,1.942258574,2.064959116
2.015062677,1.93974931,2.067782038
2.015705354,1.937178602,2.070674084
2.016363355,1.934546598,2.07363509
2.017036633,1.93185349,2.076664836
2.017725125,1.92909952,2.079763053
2.018428762,1.926284973,2.082929419
2.01914746,1.923410183,2.086163559
2.019881124,1.920475526,2.089465048
2.02062965,1.917481426,2.092833411
2.021392919,1.914428351,2.096268121
2.022170804,1.911316811,2.099768604
2.022963166,1.908147362,2.103334235
2.023769857,1.904920601,2.106964342
2.024590715,1.901637168,2.110658205
2.025425572,1.898297743,2.114415058
2.026274246,1.894903048,2.11823409
2.027136547,1.891453845,2.122114445
2.028012275,1.887950932,2.126055222
2.028901222,1.884395147,2.130055481
2.029803168,1.880787364,2.134114238
2.030717886,1.877128492,2.138230469
2.03164514,1.873419476,2.142403113
2.032584687,1.869661292,2.14663107
2.033536272,1.865854951,2.150913205
2.034499638,1.862001491,2.155248349
2.035474515,1.858101982,2.159635297
2.036460631,1.854157521,2.164072816
2.037457703,1.850169232,2.168559642
2.038465446,1.846138264,2.173094482
2.039483565,1.842065787,2.177676019
2.040511763,1.837952997,2.182302908
2.041549736,1.833801107,2.186973786
2.042597176,1.829611349,2.191687265
2.04365377,1.825384971,2.19644194
2.044719204,1.821123237,2.201236391
2.045793158,1.816827424,2.206069182
2.046875309,1.812498818,2.210938864
2.047965335,1.808138716,2.215843981
2.04906291,1.803748419,2.220783065
2.050167706,1.799329236,2.225754646
2.051279396,1.794882477,2.230757251
2.052397653,1.790409452,2.235789406
2.053522149,1.785911469,2.240849637
2.054652558,1.781389833,2.245936479
2.055788557,1.77684584,2.251048471
2.056929822,1.77228078,2.256184165
2.058076035,1.767695929,2.261342123
2.05922688,1.76309255,2.266520925
2.060382046,1.758471889,2.27171917
2.061541225,1.753835172,2.276935477
2.062704118,1.749183605,2.282168491
2.063870428,1.744518366,2.287416886
2.065039867,1.739840608,2.292679365
2.066212157,1.735151452,2.297954665
2.067387023,1.730451988,2.303241564
2.068564204,1.725743266,2.308538877
2.069743446,1.721026298,2.313845466
2.070924507,1.716302056,2.31916024
2.072107156,1.711571463,2.324482158
2.073291173,1.706835394,2.329810236
2.074476354,1.702094674,2.335143547
2.075662505,1.69735007,2.340481228
2.07684945,1.692602291,2.34582248
2.078037027,1.687851985,2.351166575
2.07922509,1.683099734,2.356512859
2.080413512,1.678346049,2.361860755
2.081602181,1.673591372,2.367209768
2.082791008,1.668836065,2.372559489
2.083979922,1.664080413,2.377909598
2.085168872,1.659324615,2.383259871
2.08635783,1.654568784,2.388610182
2.087546784,1.649812968,2.393960476
2.088735707,1.645057279,2.399310627
2.089924537,1.64030196,2.404660362
2.091113182,1.635547382,2.410009263
2.092301519,1.630794034,2.41535678
2.0934894,1.626042512,2.420702244
2.09467665,1.621293512,2.42604487
2.095863073,1.616547821,2.431383773
2.097048451,1.611806312,2.436717972
2.098232547,1.60706993,2.442046402
2.099415107,1.60233969,2.447367922
2.100595863,1.597616667,2.452681324
2.101774534,1.592901987,2.45798534
2.102950825,1.588196824,2.46327865
2.104124434,1.583502388,2.468559891
2.105295051,1.578819923,2.473827665
2.106462357,1.574150698,2.479080544
2.107626032,1.569496002,2.484317078
2.108785749,1.564857135,2.489535804
2.109941181,1.560235406,2.49473525
2.111092002,1.555632125,2.499913942
2.112237884,1.551048598,2.505070411
2.113378504,1.546486121,2.510203198
2.11451354,1.541945977,2.515310861
2.115642677,1.53742943,2.520391977
2.116765605,1.532937719,2.525445154
2.117882022,1.528472054,2.530469027
2.118991631,1.524033616,2.53546227
2.120094149,1.519623547,2.5404236
2.121189299,1.515242947,2.545351775
2.122276817,1.510892877,2.550245605
2.12335645,1.506574345,2.555103953
2.124427959,1.502288314,2.559925739
2.125491115,1.498035689,2.564709943
2.126545707,1.493817321,2.569455608
2.127591538,1.489634002,2.574161843
2.128628423,1.485486462,2.578827826
2.129656197,1.481375368,2.583452808
2.130674709,1.477301321,2.588036111
2.131683825,1.473264856,2.592577135
2.13268343,1.46926644,2.597075354
2.133673423,1.465306467,2.601530324
2.134653724,1.461385263,2.605941679
2.13562427,1.45750308,2.610309136
2.136585016,1.453660099,2.614632491
2.137535935,1.449856425,2.618911624
2.138477018,1.446092092,2.623146499
2.139408276,1.44236706,2.627337161
2.140329738,1.438681215,2.631483738
2.14124145,1.435034369,2.63558644
2.142143477,1.431426262,2.639645561
2.143035902,1.427856563,2.643661473
2.143918826,1.424324868,2.647634631
2.144792367,1.420830705,2.651565565
2.14565666,1.417373533,2.655454884
2.146511858,1.413952742,2.659303274
2.147358129,1.410567661,2.663111491
2.148195656,1.407217552,2.666880364
2.14902464,1.403901618,2.670610791
2.149845294,1.400619002,2.674303735
2.150657847,1.397368792,2.677960222
2.15146254,1.394150023,2.681581337
2.152259626,1.390961678,2.685168225
2.153049372,1.387802696,2.688722081
2.153832053,1.38467197,2.692244148
2.154607957,1.381568354,2.695735716
2.15537738,1.378490666,2.699198117
2.156140624,1.375437691,2.702632714
2.156898,1.372408187,2.706040907
2.157649825,1.369400888,2.709424118
2.158396419,1.366414511,2.712783793
2.159138108,1.363447758,2.716121391
2.159875217,1.360499322,2.719438382
2.160608075,1.357567893,2.72273624
2.161337007,1.354652163,2.726016437
2.16206234,1.351750832,2.729280435
2.162784395,1.348862613,2.732529682
2.163503489,1.34598624,2.735765602
2.164219931,1.343120472,2.738989591
2.164934024,1.340264101,2.742203009
2.16564606,1.337415959,2.74540717
2.166356319,1.334574923,2.748603335
2.167065068,1.331739925,2.751792708
2.167772561,1.328909958,2.754976423
2.16847903,1.32608408,2.758155535
2.169184693,1.32326143,2.761331017
2.169889743,1.320441229,2.764503744
2.170594354,1.317622788,2.76767449
2.17129867,1.314805524,2.770843913
2.172002812,1.311988958,2.77401255
2.172706868,1.309172733,2.777180804
2.173410898,1.306356616,2.780348936
2.174114483,1.303540723,2.783517399
2.174815625,1.300726146,2.786687552
2.175512516,1.297913853,2.789860655
2.176203837,1.295104557,2.79303762
2.176888598,1.292298795,2.796219121
2.177566045,1.289496987,2.799405665
2.178235587,1.286699464,2.802597637
2.178896732,1.283906604,2.805795208
2.179549143,1.281118488,2.808998766
2.180192516,1.278335306,2.812208481
2.180826605,1.275557215,2.815424485
2.181451205,1.272784353,2.818646879
2.182066148,1.270016835,2.82187574
2.182671296,1.267254764,2.825111127
2.183266529,1.264498229,2.828353081
2.183851749,1.261747309,2.831601631
2.184426873,1.259002074,2.834856797
2.184991829,1.256262591,2.838118589
2.185546557,1.253528916,2.841387008
2.186091006,1.250801105,2.844662052
2.186625131,1.248079206,2.847943713
2.187148894,1.245363267,2.851231977
2.187662263,1.242653331,2.854526829
2.188165209,1.239949439,2.857828249
2.188657708,1.237251629,2.861136215
2.189139738,1.23455994,2.864450703
2.189611282,1.231874407,2.867771687
2.190072324,1.229195063,2.871099139
2.19052285,1.226521943,2.874433031
2.190962847,1.223855078,2.877773333
2.191392306,1.221194499,2.881120013
2.191811216,1.218540237,2.88447304
2.192219571,1.215892322,2.88783238
2.192617363,1.213250783,2.891198002
2.193004585,1.210615648,2.89456987
2.193381233,1.207986946,2.897947951
2.193747302,1.205364705,2.90133221
2.194102784,1.202748972,2.904722586
2.194447681,1.200139733,2.908119097
2.194781989,1.197537037,2.91152168
2.195105702,1.194940908,2.914930302
2.195418821,1.192351375,2.918344924
2.195721343,1.189768461,2.921765511
2.196013267,1.187192194,2.925192026
2.196294594,1.184622596,2.928624431
2.196565326,1.182059692,2.932062687
2.196825466,1.179503506,2.935506758
2.197075017,1.176954059,2.938956601
2.197313985,1.174411371,2.942412179
2.19754238,1.171875464,2.945873448
2.197760211,1.169346354,2.949340366
2.197967491,1.166824057,2.952812889
2.198164237,1.164308589,2.956290972
2.198350468,1.16179996,2.959774567
2.19852621,1.159298179,2.963263626
2.198691491,1.156803251,2.966758095
2.198846348,1.154315176,2.97025792
2.198990824,1.151833951,2.973763043
2.199124969,1.149359566,2.977273402
2.199248847,1.146892003,2.980788929
2.19936253,1.144431245,2.984309542
2.199466107,1.14197724,2.98783518
2.199559687,1.139529949,2.991365747
2.199643396,1.137089308,2.994901143
2.199717393,1.134655235,2.998441257
2.199781865,1.132227625,3.001985963
2.199837044,1.129806343,3.005535115
2.199883217,1.127391219,3.00908854
2.199920736,1.124982036,3.012646035
2.199950045,1.122578368,3.016207574
2.199971702,1.120179955,3.019772706
2.199986425,1.117786317,3.023341076
2.199995152,1.115396818,3.026912234
2.199999125,1.113010607,3.030485588
2.200000039,1.110626521,3.034060346
2.200000048,1.108243055,3.037635529
2.200000048,1.105859966,3.041210162
2.200000048,1.103478181,3.044782839
2.200000048,1.101098696,3.048352063
2.200000048,1.098722115,3.051916935
2.200000048,1.096348416,3.055477482
2.200000048,1.093976966,3.059034654
2.200000048,1.091606759,3.062589964
2.200000118,1.089236867,3.066144694
2.200004528,1.086863935,3.069697477
2.200022528,1.084481633,3.073243928
2.200061461,1.082084974,3.076780515
2.200127004,1.079670201,3.08030436
2.20022372,1.077234506,3.083812827
2.200355422,1.074775435,3.087303878
2.200525375,1.07229113,3.090775406
2.200736445,1.069780067,3.094225393
2.200991201,1.067240992,3.097651872
2.201291976,1.064672867,3.101052894
2.201640922,1.062074844,3.104426509
2.202040039,1.059446233,3.107770747
2.202491205,1.056786466,3.111083649
2.20299617,1.054095187,3.114363119
2.203556595,1.05137209,3.117607126
2.204174044,1.048617015,3.120813565
2.204849981,1.045829924,3.123980295
2.205585781,1.043010896,3.127105136
2.206382718,1.040160128,3.13018588
2.207241969,1.037277938,3.133220288
2.208164602,1.034364759,3.136206107
2.209151575,1.031421144,3.139141068
2.210203727,1.028447767,3.142022906
2.211321771,1.025445417,3.144849365
2.212506287,1.022415002,3.147618212
2.213757719,1.019357544,3.15032725
2.215076363,1.016274178,3.152974333
2.216462367,1.013166141,3.155557382
2.217915723,1.010034776,3.158074396
2.219436269,1.006881515,3.160523468
2.221023683,1.003707878,3.162902802
2.222677484,1.00051546,3.165210726
2.22439704,0.997305921,3.167445702
2.226181561,0.9940809742,3.16960634
2.228030113,0.9908423783,3.171691406
2.229941622,0.9875919194,3.173699832
2.231914879,0.9843313982,3.175630727
2.233948557,0.9810626191,3.177483379
2.236041212,0.9777873774,3.17925726
2.238191297,0.9745074469,3.180952028
2.240397178,0.971224568,3.182567526
2.242657139,0.9679404367,3.184103782
2.2449694,0.9646566942,3.185561003
2.24733213,0.9613749178,3.186939574
2.249743454,0.9580966125,3.188240047
2.252201469,0.9548232043,3.189463136
2.254704258,0.9515560339,3.19060971
2.257249891,0.9482963517,3.191680784
2.259836445,0.9450453141,3.19267751
2.262462005,0.94180398,3.193601172
2.265124675,0.9385733087,3.194453175
2.26782258,0.9353541579,3.195235044
2.270553876,0.9321472816,3.195948416
2.273316748,0.928953329,3.196595038
2.276109414,0.9257728426,3.197176769
2.278930029,0.9226063642,3.197695565
2.281777068,0.9194539967,3.198153559
2.284648745,0.9163160522,3.198552961
2.287543392,0.9131926092,3.198896157
2.290459351,0.9100836109,3.199185717
2.293394965,0.9069888512,3.199424437
